series_id,title,popularity,frequency
A822RE1Q156NBEA,Shares of gross domestic product: Government consumption expenditures and gross investment,39,Quarterly
PCDG,Personal Consumption Expenditures: Durable Goods,39,Quarterly
BOPTIMP,Imports of Goods and Services: Balance of Payments Basis,38,Monthly
USAGDPRQPSMEI,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for United States,38,Quarterly
JCXFE,Personal Consumption Expenditures: Chain-type Price Index Less Food and Energy,38,Quarterly
CPALTT01DEM659N,"Consumer Price Indices (CPIs, HICPs), COICOP 1999: Consumer Price Index: Total for Germany",38,Monthly
GGGDTADEA188N,General government gross debt for Germany,38,Annual
TRP6001A027NBEA,Government social benefits: to persons: Federal: Supplemental Nutrition Assistance Program (SNAP),38,Annual
HLTHSCPCHCSA,Health Expenditures per Capita,38,Annual
CPALTT01GBM657N,Consumer Price Index: All Items: Total for United Kingdom,38,Monthly
IMPMX,U.S. Imports of Goods by Customs Basis from Mexico,38,Monthly
AUSGDPRQDSMEI,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for Australia,38,Quarterly
IR3TBB01AUM156N,Interest Rates: 3-Month or 90-Day Rates and Yields: Bank Bills: Total for Australia,38,Monthly
IR3TIB01CNM156N,Interest Rates: 3-Month or 90-Day Rates and Yields: Interbank Rates: Total for China,37,Monthly
M1490AUSM157SNBR,Total Money Supply for United States,37,Monthly
CORESTICKM158SFRBATL,Sticky Price Consumer Price Index less Food and Energy,37,Monthly
LTRUCKSA,Motor Vehicle Retail Sales: Light Weight Trucks,37,Monthly
DPCERY2Q224SBEA,Contributions to percent change in real gross domestic product: Personal consumption expenditures,37,Quarterly
Y033RX1Q020SBEA,Real Gross Private Domestic Investment: Fixed Investment: Nonresidential: Equipment,37,Quarterly
FEDTARCTM,"FOMC Summary of Economic Projections for the Fed Funds Rate, Central Tendency, Midpoint",37,Annual
USRECDP,NBER based Recession Indicators for the United States from the Peak through the Period preceding the Trough,37,"Daily, 7-Day"
DPCERL1Q225SBEA,Real Personal Consumption Expenditures,37,Quarterly
PCETRIM1M158SFRBDAL,Trimmed Mean PCE Inflation Rate,37,Monthly
SLEXPND,State and Local Government Current Expenditures,37,Quarterly
PCECA,Personal Consumption Expenditures,37,Annual
A019RE1Q156NBEA,Shares of gross domestic product: Net exports of goods and services,37,Quarterly
CPALTT01USM659N,"Consumer Price Indices (CPIs, HICPs), COICOP 1999: Consumer Price Index: Total for United States",37,Monthly
IR3TIB01NOM156N,Interest Rates: 3-Month or 90-Day Rates and Yields: Interbank Rates: Total for Norway,37,Monthly
ACTLISCOU16980,"Housing Inventory: Active Listing Count in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",37,Monthly
USMANRQGSP,Real Gross Domestic Product: Manufacturing (31-33) in the United States,37,Quarterly
W270RE1A156NBEA,"Shares of gross domestic income: Compensation of employees, paid: Wage and salary accruals: Disbursements: to persons",37,Annual
FLNGSP,Gross Domestic Product: All Industry Total in Florida,37,Annual
DGDSRC1,Personal Consumption Expenditures: Goods,37,Monthly
G160371A027NBEA,Government current expenditures: Income security: Welfare and social services,37,Annual
USAGFCFQDSNAQ,Gross Fixed Capital Formation in United States,37,Quarterly
W823RC1,Personal current transfer receipts: Government social benefits to persons: Social security,36,Monthly
PCECTPICTM,"FOMC Summary of Economic Projections for the Personal Consumption Expenditures Inflation Rate, Central Tendency, Midpoint",36,Annual
